sample_number,region,island,stage,date_egg,delta_15_n_o_oo,delta_13_c_o_oo
19,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.84057,-25.37899
20,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.96491,-25.39587
21,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.8962,-25.37746
22,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.6322,-25.46569
23,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.90436,-25.3947
24,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/27,7.90971,-25.38157
25,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.68528,-25.39181
26,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.83733,-25.42826
27,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.96621,-25.69327
28,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.92358,-25.48383
29,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.6887,-25.50811
30,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,8.30515,-25.19017
31,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,NA,NA
32,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/11/29,7.63452,-25.46327
33,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/12/03,7.97408,-25.53768
34,Anvers,Biscoe,"Adult, 1 Egg Stage",2007/12/03,7.76843,-25.6821
35,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,7.89744,-26.63405
36,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.03659,-26.86127
37,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/02,7.96935,-26.70968
38,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/02,8.13746,-26.79093
39,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.01979,-26.68311
40,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.14776,-26.84506
41,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.14567,-26.59467
42,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.38324,-26.84272
43,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.37615,-26.72791
44,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.26548,-26.7699
45,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.46894,-26.60436
46,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.27141,-26.7765
47,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.47829,-26.61788
48,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.65803,-26.57585
49,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/02,8.45167,-26.89644
50,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/02,8.55868,-26.67799
51,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.38289,-26.86352
52,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.39867,-26.79358
53,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.51951,-27.01854
54,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.50153,-26.61414
55,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.48789,-26.83006
56,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.63488,-26.75621
57,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.58319,-26.84415
58,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.63604,-26.7489
59,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.48367,-26.86485
60,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.74647,-26.79846
61,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.65015,-26.79053
62,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.60092,-26.84374
63,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.6287,-26.60484
64,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.49662,-26.84166
65,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.60447,-26.61601
66,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/04,8.47067,-26.69166
67,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.24253,-26.8154
68,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.49854,-26.74809
69,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.64931,-26.68867
70,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/13,8.63551,-26.74249
71,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.53018,-26.72751
72,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/03,8.35078,-26.70783
73,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.24651,-26.66958
74,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.58487,-26.5929
75,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.47938,-26.9547
76,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.5964,-26.71199
77,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.39299,-26.78733
78,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/06,8.40327,-26.76821
79,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.24694,-26.65359
80,Anvers,Biscoe,"Adult, 1 Egg Stage",2008/11/09,8.19749,-26.65931
81,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.35802,-26.2766
82,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.28601,-26.27573
83,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,8.19101,-26.24369
84,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/15,8.20042,-26.39677
85,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.11238,-26.20372
86,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.27428,-26.30019
87,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,8.2346800000000009,-26.18599
88,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,8.15426,-26.3433
89,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.12691,-26.23613
90,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.27595,-26.11657
91,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.29671,-26.08547
92,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.36701,-25.89834
93,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.15566,-26.22848
94,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.83352,-25.69195
95,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/27,8.20106,-26.16524
96,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/27,8.27102,-26.11244
97,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.03624,-26.06594
98,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,7.8881,-26.04726
99,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.16582,-26.13971
100,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.2066,-26.36863
101,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.10231,-26.18763
102,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.3118,-26.35425
103,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.30817,-26.21651
104,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/18,8.65914,-25.79203
105,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.25818,-26.23886
106,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.32359,-26.05756
107,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/10,8.12311,-26.44815
108,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/10,8.41017,-26.33867
109,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/09,8.4207,-26.38092
110,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/09,8.45738,-26.22664
111,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,8.24691,-26.18466
112,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/20,8.29226,-26.21019
113,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/27,8.21634,-26.11046
114,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/27,8.78557,-25.76147
115,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.30231,-25.96013
116,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/25,8.08354,-26.18161
117,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.04111,-26.18444
118,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,8.33825,-25.88547
119,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,7.99184,-26.20538
120,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/12/01,NA,NA
121,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.41151,-26.13832
122,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.30166,-26.04117
123,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.24246,-26.11969
124,Anvers,Biscoe,"Adult, 1 Egg Stage",2009/11/22,8.3639,-26.15531
1,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/19,9.03935,-24.30229
2,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/19,8.92069,-24.23592
3,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/26,9.29078,-24.7557
4,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/26,8.64701,-24.62717
5,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/21,9.00642,-24.61867
6,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/21,8.88942,-24.49433
7,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,8.85664,-24.55644
8,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,8.63701,-24.84059
9,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/21,8.47173,-24.29229
10,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/21,8.79581,-24.36088
11,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,8.95063,-24.59897
12,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,8.68747,-24.38751
13,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/26,8.72037,-24.80526
14,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/26,9.0233,-24.38933
15,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/22,9.12277,-24.90024
16,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/22,9.8059,-24.7294
17,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/30,10.02019,-24.54704
18,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/30,9.14382,-24.57994
19,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/30,9.32105,-24.64162
20,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/30,9.27158,-24.64335
21,Anvers,Dream,"Adult, 1 Egg Stage",2007/12/03,9.35138,-24.6879
22,Anvers,Dream,"Adult, 1 Egg Stage",2007/12/03,9.42666,-24.26375
23,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,9.35416,-25.01185
24,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,9.28153,-24.97134
25,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,9.74144,-24.59467
26,Anvers,Dream,"Adult, 1 Egg Stage",2007/11/28,9.36799,-24.47142
27,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,8.9399,-23.89017
28,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,9.63074,-24.34684
29,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.37369,-24.52896
30,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.25177,-24.69638
31,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.08458,-24.54903
32,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.49283,-24.59996
33,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.36668,-24.45195
34,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.23196,-24.17282
35,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,9.75486,-24.31198
36,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/25,9.07825,-25.1455
37,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,8.83502,-24.65859
38,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.43146,-24.6844
39,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.80589,-24.73735
40,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,10.02544,-24.90816
41,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.53262,-24.66867
42,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/24,9.61734,-24.66188
43,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,10.02372,-24.86594
44,Anvers,Dream,"Adult, 1 Egg Stage",2008/11/14,9.36493,-24.66259
45,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/17,9.43684,-24.16566
46,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/17,9.45827,-24.35575
47,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.46819,-24.45721
48,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.34089,-24.45189
49,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.6895,-24.43062
50,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.32169,-24.41562
51,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.46929,-24.48403
52,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.43782,-24.36202
53,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.415,-24.805
54,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/23,9.93727,-24.59066
55,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.56534,-24.60882
56,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.77528,-24.56481
57,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.62357,-24.78984
58,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.88809,-24.59513
59,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.74492,-24.404
60,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.46985,-24.65786
61,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,NA,-23.78767
62,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/27,9.65061,-24.48153
63,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/19,9.2671500000000009,-24.31912
64,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/19,9.7046500000000009,-24.53494
65,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.37608,-24.40753
66,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.4618,-24.70615
67,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.98044,-24.68741
68,Anvers,Dream,"Adult, 1 Egg Stage",2009/11/21,9.39305,-24.25255
